country_code,episode_id,start_year,end_year,init_end_year,need_initial,share_current_exp_cuts,episode_type,d_spread_initial,d_spread_whole,d_policy_initial,d_policy_whole
AUS,2,2002,2003,2002,0.76560524956798,0.292826249942967,Revenue driven (1),0.6360000000000001,0.7549999999999999,0.1922440352707202,0.5851367804135399
AUS,4,2013,2014,2013,4.456397766809,-0.0530185629983046,Revenue driven (1),-0.22999999999999998,-0.45999999999999996,-1.00167294275743,-1.06701654835901
AUT,2,1996,1997,1996,6.92615489784224,0.714259007527126,Expenditure driven (1),-0.17799999999999994,-0.2510000000000012,-0.8987138557917103,-0.5074307859355098
AUT,3,2001,2001,2001,4.94681389375551,0.0932756697685512,Revenue driven (1),-0.016000000000000014,-0.016000000000000014,0.3107139759152697,0.3107139759152697
AUT,4,2005,2005,2005,5.81964474457223,-0.335630692377146,Revenue driven (1),-0.0810000000000004,-0.0810000000000004,-0.15390788690374002,-0.15390788690374002
AUT,5,2010,2013,2011,5.03985765597562,0.131693410967482,Revenue driven (1),-0.0030000000000001137,-0.2769999999999999,-2.4520871056583298,-2.30159387700583
BEL,4,1998,1998,1998,4.64754927230545,0.376967366009895,Revenue driven (1),0.18300000000000072,0.18300000000000072,0.6613456010220795,0.6613456010220795
BEL,5,2006,2006,2006,5.10628673693406,-0.0154609562642664,Revenue driven (1),0.03000000000000025,0.03000000000000025,1.0929195988839902,1.0929195988839902
BEL,6,2012,2013,2013,6.64636549450516,-0.378332348903313,Revenue driven (1),-0.7659999999999998,-0.7659999999999998,0.749605173644846,0.749605173644846
CAN,1,1979,1980,1979,4.4270193359865,0.453834659610207,Revenue driven (1),-0.08999999999999986,0.051999999999997826,NA,NA
CAN,2,1981,1981,1981,3.27622143125383,-0.388456957766595,Revenue driven (1),0.20000000000000284,0.20000000000000284,NA,NA
CAN,3,1986,1990,1986,8.02093786066063,-0.0470543509168387,Revenue driven (1),1.1739999999999995,1.868999999999998,-0.22531134797783903,3.045840928027891
CAN,4,1994,1997,1995,7.07765636410332,0.879760865203492,Expenditure driven (1),0.18500000000000139,-1.6069999999999993,0.6240976520574799,-2.89582771597426
CAN,5,2011,2014,2012,3.56655813368698,0.545427487346185,Expenditure driven (1),0.049000000000000155,-0.33099999999999996,-0.06293084681618,-0.9695823497887229
DEU,2,1996,1999,1996,10.1333320876519,-0.020801812205751,Revenue driven (1),NA,NA,-0.9116558829508206,-1.4280031579336003
DEU,3,2007,2007,2007,3.5053253486818,0.821932248549553,Expenditure driven (1),NA,NA,-0.01174757553532002,-0.01174757553532002
DEU,4,2011,2014,2011,5.30607441976257,0.0423477731893224,Revenue driven (1),NA,NA,-1.2076594418845972,-1.2941082014448622
DNK,3,2004,2005,2005,0.341531594890294,0.118541030500485,Revenue driven (1),-0.1860000000000004,-0.1860000000000004,-1.2034957255750798,-1.2034957255750798
DNK,4,2013,2014,2013,2.51533143167443,0.201469182997739,Revenue driven (1),0.268,0.256,-0.015049161087590024,-0.08508788432013992
ESP,3,1996,1997,1997,5.96111776240008,0.39666550950521,Revenue driven (1),-3.6700000000000017,-3.6700000000000017,-3.10509148083122,-3.10509148083122
ESP,4,2010,2014,2010,11.2608515132633,0.177854513972219,Revenue driven (1),0.7559999999999998,0.7939999999999998,-1.1075766517684897,1.37530241995443
FIN,2,1994,1994,1994,3.29775635151234,0.234693662086551,Revenue driven (1),-0.14599999999999813,-0.14599999999999813,-3.15772570170539,-3.15772570170539
FIN,3,1996,1997,1996,4.055676951531,0.567828948592736,Expenditure driven (1),-1.0819999999999999,-1.6340000000000003,-2.4755946176721206,-4.664445997716761
FIN,4,1998,1998,1998,1.95209012443658,1.24636309490903,Expenditure driven (1),-0.09499999999999975,-0.09499999999999975,-0.6076724911532798,-0.6076724911532798
FIN,5,2000,2000,2000,0.263768482944658,0.349724793453768,Revenue driven (1),-0.012000000000000455,-0.012000000000000455,-0.5618059198235201,-0.5618059198235201
FRA,1,1996,1996,1996,5.40595373824202,-0.174686032138421,Revenue driven (1),-0.5910000000000002,-0.5910000000000002,-2.4297553749047793,-2.4297553749047793
FRA,2,2011,2012,2011,7.75578094627876,-0.296347585633901,Revenue driven (1),0.33699999999999974,0.6669999999999998,-0.48608516430693993,-0.9542835913125101
GBR,3,1994,1999,1995,5.69288675628523,0.511071500172386,Expenditure driven (1),NA,NA,0.4430128693456199,-1.5201303108812994
GBR,4,2010,2011,2010,8.84739976723977,0.411710497049013,Revenue driven (1),NA,NA,-1.64170025733527,-1.95502983713513
GBR,5,2013,2013,2013,7.78364425647572,0.260619745323227,Revenue driven (1),NA,NA,-0.47288821317955,-0.47288821317955
IRL,1,1996,1998,1997,3.37043040859588,0.776713156369178,Expenditure driven (1),-0.77000000000000135,-1.2040000000000015,0.42195186427994,-0.9290850593922597
IRL,2,2003,2004,2003,1.68682300042545,-0.0371424111943746,Revenue driven (1),-0.1509999999999998,-0.17999999999999972,0.301663182930065,1.208938254017975
IRL,3,2011,2014,2011,30.9739991749599,0.142494595766578,Revenue driven (1),3.7199999999999984,-2.149000000000001,-1.5830709630224904,-4.904347441132619
ITA,1,1990,1993,1990,13.4343238546917,-0.0849448414409269,Revenue driven (1),NA,NA,-0.2449042039413296,1.52856552127367
ITA,2,1995,1997,1995,9.46487999457466,0.181945515849582,Revenue driven (1),1.7039999999999997,-2.442,0.72006630952108,-1.1342274851923495
ITA,3,2007,2007,2007,6.69070625080313,-0.0423585414604925,Revenue driven (1),-0.0129999999999999,-0.0129999999999999,0.8801340034738696,0.8801340034738696
ITA,4,2012,2013,2012,5.14640956055575,-0.0385319157250671,Revenue driven (1),1.1830000000000003,-0.0690000000000004,0.32335562879300994,1.50833421182492
JPN,1,1997,1997,1997,8.43045277592306,-0.164117036533108,Revenue driven (1),NA,NA,-0.693946424765643,-0.693946424765643
JPN,2,1999,1999,1999,13.51766656139,-0.289398507561858,Revenue driven (1),NA,NA,0.6508758659978797,0.6508758659978797
JPN,3,2004,2005,2004,12.1251456794074,-0.552731795141041,Revenue driven (1),NA,NA,-0.62752103260504,-0.977297215442946
JPN,4,2006,2006,2006,10.0763136064151,-0.34220891194005,Revenue driven (1),NA,NA,-0.284386546835056,-0.284386546835056
JPN,5,2014,2014,2014,13.5434251808313,0.163189609371633,Revenue driven (1),NA,NA,-0.9715165152480749,-0.9715165152480749
PRT,3,2002,2002,2002,7.53451345400732,-0.164735616863718,Revenue driven (1),-0.136000000000001,-0.136000000000001,0.1735561830562098,0.1735561830562098
PRT,4,2006,2007,2006,7.50933843294758,0.131948013669226,Revenue driven (1),0.06700000000000017,0.12200000000000077,0.32928733134904986,0.6773126823009998
